EV=021243 F=10285 I=250236951 C=306275003 PC=B24E A=01 X=90 Y=01 DF=6B E0=30 E1=03 | RECORD WRITE | spawn=0 R1 field+3 <= B6
EV=021244 F=10285 I=250236951 C=306275003 PC=B24E A=01 X=90 Y=01 DF=6B E0=30 E1=03 | RECORD WRITE | spawn=0 R1 field+3 <= B5
EV=021245 F=10285 I=250236959 C=306275025 PC=B24B A=01 X=94 Y=02 DF=6B E0=30 E1=03 | B24B RECORD FIELD DECREMENT | spawn=0
EV=021246 F=10285 I=250236959 C=306275025 PC=B24E A=01 X=94 Y=02 DF=6B E0=30 E1=03 | RECORD WRITE | spawn=0 R2 field+3 <= BE
EV=021247 F=10285 I=250236959 C=306275025 PC=B24E A=01 X=94 Y=02 DF=6B E0=30 E1=03 | RECORD WRITE | spawn=0 R2 field+3 <= BD
EV=021248 F=10285 I=250236967 C=306275047 PC=B24B A=01 X=98 Y=03 DF=6B E0=30 E1=03 | B24B RECORD FIELD DECREMENT | spawn=0
EV=021249 F=10285 I=250236967 C=306275047 PC=B24E A=01 X=98 Y=03 DF=6B E0=30 E1=03 | RECORD WRITE | spawn=0 R3 field+3 <= B6
EV=021250 F=10285 I=250236967 C=306275047 PC=B24E A=01 X=98 Y=03 DF=6B E0=30 E1=03 | RECORD WRITE | spawn=0 R3 field+3 <= B5
EV=021251 F=10285 I=250236975 C=306275069 PC=B24B A=01 X=9C Y=04 DF=6B E0=30 E1=03 | B24B RECORD FIELD DECREMENT | spawn=0
EV=021252 F=10285 I=250236975 C=306275069 PC=B24E A=01 X=9C Y=04 DF=6B E0=30 E1=03 | RECORD WRITE | spawn=0 R4 field+3 <= BE
EV=021253 F=10285 I=250236975 C=306275069 PC=B24E A=01 X=9C Y=04 DF=6B E0=30 E1=03 | RECORD WRITE | spawn=0 R4 field+3 <= BD
EV=021254 F=10285 I=250236983 C=306275091 PC=B24B A=01 X=A0 Y=05 DF=6B E0=30 E1=03 | B24B RECORD FIELD DECREMENT | spawn=0
EV=021255 F=10285 I=250236983 C=306275091 PC=B24E A=01 X=A0 Y=05 DF=6B E0=30 E1=03 | RECORD WRITE | spawn=0 R5 field+3 <= B6
EV=021256 F=10285 I=250236983 C=306275091 PC=B24E A=01 X=A0 Y=05 DF=6B E0=30 E1=03 | RECORD WRITE | spawn=0 R5 field+3 <= B5
EV=021257 F=10285 I=250236991 C=306275113 PC=B24B A=01 X=A4 Y=06 DF=6B E0=30 E1=03 | B24B RECORD FIELD DECREMENT | spawn=0
EV=021258 F=10285 I=250236991 C=306275113 PC=B24E A=01 X=A4 Y=06 DF=6B E0=30 E1=03 | RECORD WRITE | spawn=0 R6 field+3 <= BE
EV=021259 F=10285 I=250236991 C=306275113 PC=B24E A=01 X=A4 Y=06 DF=6B E0=30 E1=03 | RECORD WRITE | spawn=0 R6 field+3 <= BD
EV=021260 F=10285 I=250236999 C=306275135 PC=B24B A=01 X=A8 Y=07 DF=6B E0=30 E1=03 | B24B RECORD FIELD DECREMENT | spawn=0
EV=021261 F=10285 I=250236999 C=306275135 PC=B24E A=01 X=A8 Y=07 DF=6B E0=30 E1=03 | RECORD WRITE | spawn=0 R7 field+3 <= B6
EV=021262 F=10285 I=250236999 C=306275135 PC=B24E A=01 X=A8 Y=07 DF=6B E0=30 E1=03 | RECORD WRITE | spawn=0 R7 field+3 <= B5
EV=021263 F=10285 I=250237016 C=306275188 PC=B258 A=00 X=04 Y=8C DF=6B E0=30 E1=03 | B258 COUNTER | X=04 042D=00 0428=1D
EV=021264 F=10285 I=250237025 C=306275221 PC=B26D A=01 X=04 Y=8C DF=6B E0=30 E1=03 | B26D | X=04 042D=01 0428=1D
EV=021265 F=10285 I=250237059 C=306275340 PC=C726 A=48 X=23 Y=8C DF=6B E0=30 E1=03 | C726 QUEUE | ID=48 X=23 Y=8C caller=28B1 return=28B3 DF=6B E0=30
EV=021266 F=10285 I=250237164 C=306275705 PC=C726 A=09 X=13 Y=8C DF=6B E0=30 E1=03 | C726 QUEUE | ID=09 X=13 Y=8C caller=438B return=438D DF=6B E0=30
EV=021267 F=10286 I=250243902 C=306300812 PC=C535 A=00 X=80 Y=00 DF=6B E0=30 E1=03 | C535 RNG UPDATE BEFORE | DF=6B E0=30 E1=03
EV=021268 F=10286 I=250243906 C=306300824 PC=C53F A=96 X=03 Y=00 DF=96 E0=30 E1=03 | WRITE DF | 6B -> 96 DF&1=0 DF&3=2 DF&7=6
EV=021269 F=10286 I=250243910 C=306300836 PC=C547 A=BD X=03 Y=00 DF=96 E0=BD E1=03 | WRITE E0 | 30 -> BD E0SEL=3
EV=021270 F=10286 I=250243911 C=306300841 PC=C549 A=BD X=03 Y=00 DF=96 E0=BD E1=04 | WRITE E1 | 03 -> 04
EV=021271 F=10287 I=250251970 C=306330592 PC=C535 A=00 X=80 Y=00 DF=96 E0=BD E1=04 | C535 RNG UPDATE BEFORE | DF=96 E0=BD E1=04
EV=021272 F=10287 I=250251974 C=306330604 PC=C53F A=9D X=04 Y=00 DF=9D E0=BD E1=04 | WRITE DF | 96 -> 9D DF&1=1 DF&3=1 DF&7=5
EV=021273 F=10287 I=250251978 C=306330616 PC=C547 A=98 X=04 Y=00 DF=9D E0=98 E1=04 | WRITE E0 | BD -> 98 E0SEL=1
EV=021274 F=10287 I=250251979 C=306330621 PC=C549 A=98 X=04 Y=00 DF=9D E0=98 E1=05 | WRITE E1 | 04 -> 05
EV=021275 F=10288 I=250260038 C=306360372 PC=C535 A=00 X=80 Y=00 DF=9D E0=98 E1=05 | C535 RNG UPDATE BEFORE | DF=9D E0=98 E1=05
EV=021276 F=10288 I=250260042 C=306360384 PC=C53F A=6A X=05 Y=00 DF=6A E0=98 E1=05 | WRITE DF | 9D -> 6A DF&1=0 DF&3=2 DF&7=2
EV=021277 F=10288 I=250260046 C=306360396 PC=C547 A=9F X=05 Y=00 DF=6A E0=9F E1=05 | WRITE E0 | 98 -> 9F E0SEL=1
EV=021278 F=10288 I=250260047 C=306360401 PC=C549 A=9F X=05 Y=00 DF=6A E0=9F E1=06 | WRITE E1 | 05 -> 06
EV=021279 F=10288 I=250263348 C=306372281 PC=C726 A=26 X=4D Y=8C DF=6A E0=9F E1=06 | C726 QUEUE | ID=26 X=4D Y=8C caller=BF8B return=BF8D DF=6A E0=9F
EV=021280 F=10288 I=250263377 C=306372376 PC=E01F A=00 X=04 Y=00 DF=6A E0=9F E1=06 | E01F SPATIAL TEST | X=04 Y=00 0720=B0 0723=70
EV=021281 F=10288 I=250263387 C=306372403 PC=E01F A=F0 X=04 Y=04 DF=6A E0=9F E1=06 | E01F SPATIAL TEST | X=04 Y=04 0720=B0 0723=70
EV=021282 F=10288 I=250263397 C=306372430 PC=E01F A=F0 X=04 Y=08 DF=6A E0=9F E1=06 | E01F SPATIAL TEST | X=04 Y=08 0720=B0 0723=70
EV=021283 F=10288 I=250263407 C=306372457 PC=E01F A=F0 X=04 Y=0C DF=6A E0=9F E1=06 | E01F SPATIAL TEST | X=04 Y=0C 0720=B0 0723=70
EV=021284 F=10288 I=250263417 C=306372484 PC=E01F A=F0 X=04 Y=10 DF=6A E0=9F E1=06 | E01F SPATIAL TEST | X=04 Y=10 0720=B0 0723=70
EV=021285 F=10288 I=250263427 C=306372511 PC=E01F A=F0 X=04 Y=14 DF=6A E0=9F E1=06 | E01F SPATIAL TEST | X=04 Y=14 0720=B0 0723=70
