FCEUX 2.6.6 - Trace Log File
A:F5 X:01 Y:1F S:B5           $C1F1: B1 53     LDA ($53),Y @ $047F = #$F5
A:F5 X:01 Y:1F S:B5           $C1F3: 8D 07 20  STA $2007 = #$00
A:F5 X:01 Y:1F S:B5           $C1F6: C8        INY
A:F5 X:01 Y:20 S:B5           $C1F7: CA        DEX
A:F5 X:00 Y:20 S:B5           $C1F8: D0 F7     BNE $C1F1
A:F5 X:00 Y:20 S:B5           $C1FA: A5 53     LDA $53 = #$60
A:60 X:00 Y:20 S:B5           $C1FC: 18        CLC
A:60 X:00 Y:20 S:B5           $C1FD: 69 20     ADC #$20
A:80 X:00 Y:20 S:B5           $C1FF: 29 7F     AND #$7F
A:00 X:00 Y:20 S:B5           $C201: 85 53     STA $53 = #$60
A:00 X:00 Y:20 S:B5           $C203: A5 51     LDA $51 = #$E0
A:E0 X:00 Y:20 S:B5           $C205: 18        CLC
A:E0 X:00 Y:20 S:B5           $C206: 69 20     ADC #$20
A:00 X:00 Y:20 S:B5           $C208: 09 C0     ORA #$C0
A:C0 X:00 Y:20 S:B5           $C20A: 85 51     STA $51 = #$E0
A:C0 X:00 Y:20 S:B5           $C20C: A5 52     LDA $52 = #$27
A:27 X:00 Y:20 S:B5           $C20E: 69 00     ADC #$00
A:28 X:00 Y:20 S:B5           $C210: 29 24     AND #$24
A:20 X:00 Y:20 S:B5           $C212: 09 03     ORA #$03
A:23 X:00 Y:20 S:B5           $C214: 85 52     STA $52 = #$27
A:23 X:00 Y:20 S:B5           $C216: AD 02 20  LDA $2002 = #$15
A:15 X:00 Y:20 S:B5           $C219: A9 3F     LDA #$3F
A:3F X:00 Y:20 S:B5           $C21B: 8D 06 20  STA $2006 = #$00
A:3F X:00 Y:20 S:B5           $C21E: A9 00     LDA #$00
A:00 X:00 Y:20 S:B5           $C220: 8D 06 20  STA $2006 = #$00
A:00 X:00 Y:20 S:B5           $C223: A9 0F     LDA #$0F
A:0F X:00 Y:20 S:B5           $C225: 8D 07 20  STA $2007 = #$00
A:0F X:00 Y:20 S:B5           $C228: A9 3F     LDA #$3F
A:3F X:00 Y:20 S:B5           $C22A: 8D 06 20  STA $2006 = #$01
A:3F X:00 Y:20 S:B5           $C22D: A9 00     LDA #$00
A:00 X:00 Y:20 S:B5           $C22F: 8D 06 20  STA $2006 = #$01
A:00 X:00 Y:20 S:B5           $C232: 8D 06 20  STA $2006 = #$00
A:00 X:00 Y:20 S:B5           $C235: 8D 06 20  STA $2006 = #$00
A:00 X:00 Y:20 S:B5           $C238: AD 02 20  LDA $2002 = #$00
A:00 X:00 Y:20 S:B5           $C23B: A5 39     LDA $39 = #$5A
A:5A X:00 Y:20 S:B5           $C23D: 8D 05 20  STA $2005 = #$02
A:5A X:00 Y:20 S:B5           $C240: A5 3A     LDA $3A = #$D2
A:D2 X:00 Y:20 S:B5           $C242: 8D 05 20  STA $2005 = #$02
A:D2 X:00 Y:20 S:B5           $C245: A5 34     LDA $34 = #$11
A:11 X:00 Y:20 S:B5           $C247: 8D 00 20  STA $2000 = #$11
A:11 X:00 Y:20 S:B5           $C24A: A5 35     LDA $35 = #$1E
A:1E X:00 Y:20 S:B5           $C24C: 8D 01 20  STA $2001 = #$00
A:1E X:00 Y:20 S:B5           $C24F: BA        TSX
A:1E X:B5 Y:20 S:B5           $C250: 86 42     STX $42 = #$B9
A:1E X:B5 Y:20 S:B5           $C252: A2 EF     LDX #$EF
A:1E X:EF Y:20 S:B5           $C254: 9A        TXS
A:1E X:EF Y:20 S:EF                 $C255: 20 99 C2  JSR $C299
A:1E X:EF Y:20 S:ED                   $C299: A9 01     LDA #$01
A:01 X:EF Y:20 S:ED                   $C29B: 8D 16 40  STA $4016 = #$00
A:01 X:EF Y:20 S:ED                   $C29E: A9 00     LDA #$00
A:00 X:EF Y:20 S:ED                   $C2A0: 8D 16 40  STA $4016 = #$01
A:00 X:EF Y:20 S:ED                   $C2A3: 85 3C     STA $3C = #$00
A:00 X:EF Y:20 S:ED                   $C2A5: A2 00     LDX #$00
A:00 X:00 Y:20 S:ED                   $C2A7: 20 AF C2  JSR $C2AF
A:00 X:00 Y:20 S:EB                     $C2AF: A0 08     LDY #$08
A:00 X:00 Y:08 S:EB                     $C2B1: 85 3C     STA $3C = #$00
A:00 X:00 Y:08 S:EB                     $C2B3: BD 16 40  LDA $4016,X @ $4016 = #$00
A:40 X:00 Y:08 S:EB                     $C2B6: 85 3D     STA $3D = #$00
A:40 X:00 Y:08 S:EB                     $C2B8: 4A        LSR
A:20 X:00 Y:08 S:EB                     $C2B9: 05 3D     ORA $3D = #$40
A:60 X:00 Y:08 S:EB                     $C2BB: 4A        LSR
A:30 X:00 Y:08 S:EB                     $C2BC: A5 3C     LDA $3C = #$00
A:00 X:00 Y:08 S:EB                     $C2BE: 2A        ROL
A:00 X:00 Y:08 S:EB                     $C2BF: 88        DEY
A:00 X:00 Y:07 S:EB                     $C2C0: D0 EF     BNE $C2B1
A:00 X:00 Y:07 S:EB                     $C2B1: 85 3C     STA $3C = #$00
A:00 X:00 Y:07 S:EB                     $C2B3: BD 16 40  LDA $4016,X @ $4016 = #$00
A:40 X:00 Y:07 S:EB                     $C2B6: 85 3D     STA $3D = #$40
A:40 X:00 Y:07 S:EB                     $C2B8: 4A        LSR
A:20 X:00 Y:07 S:EB                     $C2B9: 05 3D     ORA $3D = #$40
A:60 X:00 Y:07 S:EB                     $C2BB: 4A        LSR
A:30 X:00 Y:07 S:EB                     $C2BC: A5 3C     LDA $3C = #$00
A:00 X:00 Y:07 S:EB                     $C2BE: 2A        ROL
A:00 X:00 Y:07 S:EB                     $C2BF: 88        DEY
A:00 X:00 Y:06 S:EB                     $C2C0: D0 EF     BNE $C2B1
A:00 X:00 Y:06 S:EB                     $C2B1: 85 3C     STA $3C = #$00
A:00 X:00 Y:06 S:EB                     $C2B3: BD 16 40  LDA $4016,X @ $4016 = #$00
A:40 X:00 Y:06 S:EB                     $C2B6: 85 3D     STA $3D = #$40
A:40 X:00 Y:06 S:EB                     $C2B8: 4A        LSR
A:20 X:00 Y:06 S:EB                     $C2B9: 05 3D     ORA $3D = #$40
A:60 X:00 Y:06 S:EB                     $C2BB: 4A        LSR
A:30 X:00 Y:06 S:EB                     $C2BC: A5 3C     LDA $3C = #$00
A:00 X:00 Y:06 S:EB                     $C2BE: 2A        ROL
A:00 X:00 Y:06 S:EB                     $C2BF: 88        DEY
A:00 X:00 Y:05 S:EB                     $C2C0: D0 EF     BNE $C2B1
A:00 X:00 Y:05 S:EB                     $C2B1: 85 3C     STA $3C = #$00
A:00 X:00 Y:05 S:EB                     $C2B3: BD 16 40  LDA $4016,X @ $4016 = #$00
A:40 X:00 Y:05 S:EB                     $C2B6: 85 3D     STA $3D = #$40
A:40 X:00 Y:05 S:EB                     $C2B8: 4A        LSR
A:20 X:00 Y:05 S:EB                     $C2B9: 05 3D     ORA $3D = #$40
A:60 X:00 Y:05 S:EB                     $C2BB: 4A        LSR
A:30 X:00 Y:05 S:EB                     $C2BC: A5 3C     LDA $3C = #$00
A:00 X:00 Y:05 S:EB                     $C2BE: 2A        ROL
A:00 X:00 Y:05 S:EB                     $C2BF: 88        DEY
A:00 X:00 Y:04 S:EB                     $C2C0: D0 EF     BNE $C2B1
A:00 X:00 Y:04 S:EB                     $C2B1: 85 3C     STA $3C = #$00
A:00 X:00 Y:04 S:EB                     $C2B3: BD 16 40  LDA $4016,X @ $4016 = #$00
A:40 X:00 Y:04 S:EB                     $C2B6: 85 3D     STA $3D = #$40
A:40 X:00 Y:04 S:EB                     $C2B8: 4A        LSR
A:20 X:00 Y:04 S:EB                     $C2B9: 05 3D     ORA $3D = #$40
A:60 X:00 Y:04 S:EB                     $C2BB: 4A        LSR
A:30 X:00 Y:04 S:EB                     $C2BC: A5 3C     LDA $3C = #$00
A:00 X:00 Y:04 S:EB                     $C2BE: 2A        ROL
A:00 X:00 Y:04 S:EB                     $C2BF: 88        DEY
A:00 X:00 Y:03 S:EB                     $C2C0: D0 EF     BNE $C2B1
A:00 X:00 Y:03 S:EB                     $C2B1: 85 3C     STA $3C = #$00
A:00 X:00 Y:03 S:EB                     $C2B3: BD 16 40  LDA $4016,X @ $4016 = #$00
A:40 X:00 Y:03 S:EB                     $C2B6: 85 3D     STA $3D = #$40
A:40 X:00 Y:03 S:EB                     $C2B8: 4A        LSR
A:20 X:00 Y:03 S:EB                     $C2B9: 05 3D     ORA $3D = #$40
A:60 X:00 Y:03 S:EB                     $C2BB: 4A        LSR
A:30 X:00 Y:03 S:EB                     $C2BC: A5 3C     LDA $3C = #$00
A:00 X:00 Y:03 S:EB                     $C2BE: 2A        ROL
A:00 X:00 Y:03 S:EB                     $C2BF: 88        DEY
A:00 X:00 Y:02 S:EB                     $C2C0: D0 EF     BNE $C2B1
A:00 X:00 Y:02 S:EB                     $C2B1: 85 3C     STA $3C = #$00
A:00 X:00 Y:02 S:EB                     $C2B3: BD 16 40  LDA $4016,X @ $4016 = #$00
A:40 X:00 Y:02 S:EB                     $C2B6: 85 3D     STA $3D = #$40
A:40 X:00 Y:02 S:EB                     $C2B8: 4A        LSR
A:20 X:00 Y:02 S:EB                     $C2B9: 05 3D     ORA $3D = #$40
A:60 X:00 Y:02 S:EB                     $C2BB: 4A        LSR
A:30 X:00 Y:02 S:EB                     $C2BC: A5 3C     LDA $3C = #$00
A:00 X:00 Y:02 S:EB                     $C2BE: 2A        ROL
