============================================================
Dr. Jekyll and Mr. Hyde RNG / Spawn Investigation v3
FCEUX Lua 5.1 compatible
============================================================
Started frame: 9969

DF/E0/E1 writes are logged directly.
E0 selector is NOT treated as sticky.
C726 caller is reconstructed from the 6502 stack.
C2DA indirect target is captured at C300.
AEEA construction events receive spawn serial numbers.
Spawn delta means frames between AEEA events.
============================================================
EV=000081 F=9973 I=247659116 C=297000550 PC=E01F A=00 X=0C Y=00 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=0C Y=00 0720=B0 0723=12
EV=000082 F=9973 I=247659126 C=297000577 PC=E01F A=F0 X=0C Y=04 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=0C Y=04 0720=B0 0723=12
EV=000083 F=9973 I=247659136 C=297000604 PC=E01F A=F0 X=0C Y=08 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=0C Y=08 0720=B0 0723=12
EV=000084 F=9973 I=247659146 C=297000631 PC=E01F A=F0 X=0C Y=0C DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=0C Y=0C 0720=B0 0723=12
EV=000085 F=9973 I=247659156 C=297000658 PC=E01F A=F0 X=0C Y=10 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=0C Y=10 0720=B0 0723=12
EV=000086 F=9973 I=247659166 C=297000685 PC=E01F A=F0 X=0C Y=14 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=0C Y=14 0720=B0 0723=12
EV=000087 F=9973 I=247659176 C=297000712 PC=E01F A=F0 X=0C Y=18 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=0C Y=18 0720=B0 0723=12
EV=000088 F=9973 I=247659186 C=297000739 PC=E01F A=F0 X=0C Y=1C DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=0C Y=1C 0720=B0 0723=12
EV=000089 F=9973 I=247659196 C=297000766 PC=E01F A=F0 X=0C Y=20 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=0C Y=20 0720=B0 0723=12
EV=000090 F=9973 I=247659206 C=297000793 PC=E01F A=F0 X=0C Y=24 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=0C Y=24 0720=B0 0723=12
EV=000091 F=9973 I=247659216 C=297000820 PC=E01F A=F0 X=0C Y=28 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=0C Y=28 0720=B0 0723=12
EV=000092 F=9973 I=247659226 C=297000847 PC=E01F A=F0 X=0C Y=2C DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=0C Y=2C 0720=B0 0723=12
EV=000093 F=9973 I=247659236 C=297000874 PC=E01F A=F0 X=0C Y=30 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=0C Y=30 0720=B0 0723=12
EV=000094 F=9973 I=247659246 C=297000901 PC=E01F A=F0 X=0C Y=34 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=0C Y=34 0720=B0 0723=12
EV=000095 F=9973 I=247659256 C=297000928 PC=E01F A=F0 X=0C Y=38 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=0C Y=38 0720=B0 0723=12
EV=000096 F=9974 I=247659266 C=297000955 PC=E01F A=F0 X=0C Y=3C DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=0C Y=3C 0720=B0 0723=12
EV=000097 F=9974 I=247659276 C=297000982 PC=E01F A=F0 X=0C Y=40 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=0C Y=40 0720=B0 0723=12
EV=000098 F=9974 I=247659286 C=297001009 PC=E01F A=F0 X=0C Y=44 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=0C Y=44 0720=B0 0723=12
EV=000099 F=9974 I=247659296 C=297001036 PC=E01F A=F0 X=0C Y=48 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=0C Y=48 0720=B0 0723=12
EV=000100 F=9974 I=247661436 C=297009293 PC=C535 A=00 X=80 Y=00 DF=C5 E0=6A E1=D2 | C535 RNG UPDATE BEFORE | DF=C5 E0=6A E1=D2
EV=000101 F=9974 I=247661440 C=297009306 PC=C53F A=C3 X=D2 Y=00 DF=C3 E0=6A E1=D2 | WRITE DF | C5 -> C3 DF&1=1 DF&3=3 DF&7=3
EV=000102 F=9974 I=247661444 C=297009319 PC=C547 A=42 X=D2 Y=00 DF=C3 E0=42 E1=D2 | WRITE E0 | 6A -> 42 E0SEL=4
EV=000103 F=9974 I=247661445 C=297009324 PC=C549 A=42 X=D2 Y=00 DF=C3 E0=42 E1=D3 | WRITE E1 | D2 -> D3
EV=000104 F=9974 I=247662042 C=297011302 PC=E01F A=F0 X=0C Y=4C DF=C3 E0=42 E1=D3 | E01F SPATIAL TEST | X=0C Y=4C 0720=B0 0723=12
