============================================================
Dr. Jekyll and Mr. Hyde RNG / Spawn Investigation v4
FCEUX Lua 5.1 compatible
============================================================
B14F is the primary construction marker.
AEEA is NOT used as a spawn counter.
DF/E0/E1 writes are logged directly.
B14F caller is reconstructed from the 6502 stack.
C726 caller is reconstructed from the 6502 stack.
E660/C2DA state is kept separate from C726.
C300 records the actual indirect C2DA target.
B19D records final 8-record state.
============================================================
EV=000001 F=11275 I=258505607 C=335753620 PC=C535 A=00 X=80 Y=00 DF=D1 E0=34 E1=B7 | C535 RNG ROUTINE | DF=D1 E0=34 E1=B7
EV=000111 F=11275 I=258511560 C=335774014 PC=E01F A=F0 X=10 Y=4C DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=10 Y=4C 0720=B0 0723=80
EV=000112 F=11275 I=258511570 C=335774041 PC=E01F A=F0 X=10 Y=50 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=10 Y=50 0720=B0 0723=80
EV=000113 F=11275 I=258511580 C=335774068 PC=E01F A=F0 X=10 Y=54 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=10 Y=54 0720=B0 0723=80
EV=000114 F=11275 I=258511590 C=335774095 PC=E01F A=F0 X=10 Y=58 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=10 Y=58 0720=B0 0723=80
EV=000115 F=11275 I=258511600 C=335774122 PC=E01F A=F0 X=10 Y=5C DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=10 Y=5C 0720=B0 0723=80
EV=000116 F=11275 I=258511610 C=335774149 PC=E01F A=F0 X=10 Y=60 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=10 Y=60 0720=B0 0723=80
EV=000117 F=11275 I=258511620 C=335774176 PC=E01F A=F0 X=10 Y=64 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=10 Y=64 0720=B0 0723=80
EV=000118 F=11275 I=258511630 C=335774203 PC=E01F A=F0 X=10 Y=68 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=10 Y=68 0720=B0 0723=80
EV=000119 F=11275 I=258511640 C=335774230 PC=E01F A=F0 X=10 Y=6C DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=10 Y=6C 0720=B0 0723=80
EV=000120 F=11275 I=258511650 C=335774257 PC=E01F A=F0 X=10 Y=70 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=10 Y=70 0720=B0 0723=80
