
============================================================
Dr. Jekyll and Mr. Hyde RNG / Spawn Investigation v2
============================================================
Started frame: 11996

RNG variables:
  $DF = RNG byte used by several spawn gates
  $E0 = second RNG byte
  $E1 = RNG table/index state

Derived values:
  DF&01
  DF&03
  DF&07
  (E0>>4)&07

Candidate B258 counter:
  $042D -- meaning not yet established as spawn timer

============================================================
F=11997 PC=C535 A=00 X=80 Y=00 DF=86 E0=44 E1=7E | C535 RNG UPDATE      | DF=86 E0=44 E1=7E
F=12000 PC=E01F A=F0 X=10 Y=A8 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=A8 0720=C0 0723=80
F=12000 PC=E01F A=00 X=14 Y=00 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=14 Y=00 0720=C0 0723=88
F=12000 PC=E01F A=F0 X=14 Y=04 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=14 Y=04 0720=C0 0723=88
F=12000 PC=E01F A=F0 X=14 Y=08 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=14 Y=08 0720=C0 0723=88
F=12000 PC=E01F A=F0 X=14 Y=0C DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=14 Y=0C 0720=C0 0723=88
F=12000 PC=E01F A=F0 X=14 Y=10 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=14 Y=10 0720=C0 0723=88
F=12000 PC=E01F A=F0 X=14 Y=14 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=14 Y=14 0720=C0 0723=88
F=12000 PC=E01F A=F0 X=14 Y=18 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=14 Y=18 0720=C0 0723=88
F=12000 PC=E01F A=F0 X=14 Y=1C DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=14 Y=1C 0720=C0 0723=88
F=12000 PC=E01F A=F0 X=14 Y=20 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=14 Y=20 0720=C0 0723=88
F=12000 PC=E01F A=F0 X=14 Y=24 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=14 Y=24 0720=C0 0723=88
F=12000 PC=E01F A=F0 X=14 Y=28 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=14 Y=28 0720=C0 0723=88
F=12000 PC=E01F A=F0 X=14 Y=2C DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=14 Y=2C 0720=C0 0723=88
F=12000 PC=E01F A=F0 X=14 Y=30 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=14 Y=30 0720=C0 0723=88
F=12000 PC=E01F A=F0 X=14 Y=34 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=14 Y=34 0720=C0 0723=88
F=12000 PC=E01F A=F0 X=14 Y=38 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=14 Y=38 0720=C0 0723=88
F=12000 PC=E01F A=F0 X=14 Y=3C DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=14 Y=3C 0720=C0 0723=88
F=12000 PC=E01F A=F0 X=14 Y=40 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=14 Y=40 0720=C0 0723=88
F=12000 PC=E01F A=F0 X=14 Y=44 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=14 Y=44 0720=C0 0723=88
F=12000 PC=E01F A=F0 X=14 Y=48 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=14 Y=48 0720=C0 0723=88
F=12000 PC=E01F A=F0 X=14 Y=4C DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=14 Y=4C 0720=C0 0723=88
F=12000 PC=E01F A=F0 X=14 Y=50 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=14 Y=50 0720=C0 0723=88
F=12000 PC=E01F A=F0 X=14 Y=54 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=14 Y=54 0720=C0 0723=88
F=12000 PC=E01F A=F0 X=14 Y=58 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=14 Y=58 0720=C0 0723=88
F=12000 PC=E01F A=F0 X=14 Y=5C DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=14 Y=5C 0720=C0 0723=88
F=12000 PC=E01F A=F0 X=14 Y=60 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=14 Y=60 0720=C0 0723=88
F=12000 PC=E01F A=F0 X=14 Y=64 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=14 Y=64 0720=C0 0723=88
F=12000 PC=E01F A=F0 X=14 Y=68 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=14 Y=68 0720=C0 0723=88
F=12000 PC=E01F A=F0 X=14 Y=6C DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=14 Y=6C 0720=C0 0723=88
F=12000 PC=E01F A=F0 X=14 Y=70 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=14 Y=70 0720=C0 0723=88
F=12000 PC=E01F A=F0 X=14 Y=74 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=14 Y=74 0720=C0 0723=88
