type,frame,pc,input,DF,E0,E1,DF_bit0,DF_low2,DF_low3,E0_shift4_low3,rng_calls,rng_gap,max_rng_gap,0428,042D,048B,queue_slot,queue_addr,queue_value,c726_total,b14f_total,b14f_snapshot
C726,1284,C726,-,CD,3F,D6,1,1,5,3,1,1,1,00,00,00,C726,,,54,0,
OBJECT,1284,E05F,-,CD,3F,D6,1,1,5,3,1,1,1,00,00,00,10,$020A,26,54,0,
FRAME,1284,E05F,-,CD,3F,D6,1,1,5,3,1,1,1,00,00,00,,,,,54,0,
RNG,1285,C535,-,CD,3F,D6,1,1,5,3,1,1,1,00,00,00,C535,,,54,0,
C726,1285,C726,-,CB,DF,D7,1,3,3,5,1,1,1,00,00,00,C726,,,55,0,
C726,1285,C726,-,CB,DF,D7,1,3,3,5,1,1,1,00,00,00,C726,,,56,0,
C726,1285,C726,-,CB,DF,D7,1,3,3,5,1,1,1,00,00,00,C726,,,57,0,
C726,1285,C726,-,CB,DF,D7,1,3,3,5,1,1,1,00,00,00,C726,,,58,0,
C726,1285,C726,-,CB,DF,D7,1,3,3,5,1,1,1,00,00,00,C726,,,59,0,
C726,1285,C726,-,CB,DF,D7,1,3,3,5,1,1,1,00,00,00,C726,,,60,0,
OBJECT,1285,C74C,-,CB,DF,D7,1,3,3,5,1,1,1,00,00,00,11,$020B,5E,60,0,
OBJECT,1285,C74C,-,CB,DF,D7,1,3,3,5,1,1,1,00,00,00,12,$020C,01,60,0,
OBJECT,1285,C74C,-,CB,DF,D7,1,3,3,5,1,1,1,00,00,00,13,$020D,4B,60,0,
OBJECT,1285,C74C,-,CB,DF,D7,1,3,3,5,1,1,1,00,00,00,14,$020E,48,60,0,
OBJECT,1285,C74C,-,CB,DF,D7,1,3,3,5,1,1,1,00,00,00,15,$020F,46,60,0,
OBJECT,1285,C74C,-,CB,DF,D7,1,3,3,5,1,1,1,00,00,00,16,$0210,09,60,0,
FRAME,1285,C74C,-,CB,DF,D7,1,3,3,5,1,1,1,00,00,00,,,,,60,0,
RNG,1286,C535,-,CB,DF,D7,1,3,3,5,1,1,1,00,00,00,C535,,,60,0,
FRAME,1286,C74A,-,C0,E5,D8,0,0,0,6,1,1,1,00,00,00,,,,,60,0,
RNG,1287,C535,-,C0,E5,D8,0,0,0,6,1,1,1,00,00,00,C535,,,60,0,
FRAME,1287,C74C,-,AE,05,D9,0,2,6,0,1,1,1,00,00,00,,,,,60,0,
RNG,1288,C535,-,AE,05,D9,0,2,6,0,1,1,1,00,00,00,C535,,,60,0,
C726,1288,C726,-,B3,50,DA,1,3,3,5,1,1,1,00,00,00,C726,,,61,0,
OBJECT,1288,E01F,-,B3,50,DA,1,3,3,5,1,1,1,00,00,00,17,$0211,26,61,0,
FRAME,1288,E01F,-,B3,50,DA,1,3,3,5,1,1,1,00,00,00,,,,,61,0,
RNG,1289,C535,-,B3,50,DA,1,3,3,5,1,1,1,00,00,00,C535,,,61,0,
C726,1289,C726,-,B6,4A,DB,0,2,6,4,1,1,1,00,00,00,C726,,,62,0,
C726,1289,C726,-,B6,4A,DB,0,2,6,4,1,1,1,00,00,00,C726,,,63,0,
C726,1289,C726,-,B6,4A,DB,0,2,6,4,1,1,1,00,00,00,C726,,,64,0,
C726,1289,C726,-,B6,4A,DB,0,2,6,4,1,1,1,00,00,00,C726,,,65,0,
C726,1289,C726,-,B6,4A,DB,0,2,6,4,1,1,1,00,00,00,C726,,,66,0,
C726,1289,C726,-,B6,4A,DB,0,2,6,4,1,1,1,00,00,00,C726,,,67,0,
OBJECT,1289,C74E,-,B6,4A,DB,0,2,6,4,1,1,1,00,00,00,18,$0212,5E,67,0,
OBJECT,1289,C74E,-,B6,4A,DB,0,2,6,4,1,1,1,00,00,00,19,$0213,01,67,0,
OBJECT,1289,C74E,-,B6,4A,DB,0,2,6,4,1,1,1,00,00,00,20,$0214,4B,67,0,
OBJECT,1289,C74E,-,B6,4A,DB,0,2,6,4,1,1,1,00,00,00,21,$0215,48,67,0,
OBJECT,1289,C74E,-,B6,4A,DB,0,2,6,4,1,1,1,00,00,00,22,$0216,46,67,0,
OBJECT,1289,C74E,-,B6,4A,DB,0,2,6,4,1,1,1,00,00,00,23,$0217,09,67,0,
FRAME,1289,C74E,-,B6,4A,DB,0,2,6,4,1,1,1,00,00,00,,,,,67,0,
RNG,1290,C535,-,B6,4A,DB,0,2,6,4,1,1,1,00,00,00,C535,,,67,0,
FRAME,1290,C74C,-,63,F3,DC,1,3,3,7,1,1,1,00,00,00,,,,,67,0,
RNG,1291,C535,-,63,F3,DC,1,3,3,7,1,1,1,00,00,00,C535,,,67,0,
FRAME,1291,C74C,-,68,F3,DD,0,0,0,7,1,1,1,00,00,00,,,,,67,0,
